"ACCOUNTSOURCE","ANNUALREVENUE","BILLINGADDRESS","BILLINGCITY","BILLINGCOUNTRY","BILLINGGEOCODEACCURACY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGPOSTALCODE","BILLINGSTATE","BILLINGSTREET","CREATEDBYID","CREATEDDATE","DESCRIPTION","FAX","ID","INDUSTRY","ISDELETED","JIGSAW","JIGSAWCOMPANYID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MASTERRECORDID","NAME","NUMBEROFEMPLOYEES","OWNERID","PARENTID","PHONE","PHOTOURL","SHIPPINGADDRESS","SHIPPINGCITY","SHIPPINGCOUNTRY","SHIPPINGGEOCODEACCURACY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGPOSTALCODE","SHIPPINGSTATE","SHIPPINGSTREET","SICDESC","SYSTEMMODSTAMP","TYPE","WEBSITE"
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipHAAS","Chemicals","False","","","2020-11-29","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","2019-12-19T02:30:03.000Z","2019-12-19T02:30:03.000Z","","Ohana Inc","6655","0056g0000011OsEAAU","","1(800)334-2321","/services/images/photo/0016g000003PipHAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipIAAS","Apparel","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Albert Incorporated","456","0056g0000011OsEAAU","","8315543211","/services/images/photo/0016g000003PipIAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer","albertinc.com"
"","","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipJAAS","","False","","","2019-11-30","0056g0000011OsMAAU","2019-11-09T02:05:10.000Z","","","","Travel Experts","","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipJAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","4000000000","","San Francisco","United States","","","","94105","CA","350 Mission Street","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","Hottest tech company in Silicon Valley. Specializes in AI and IoT across various industries from Manufacturing to Biotech and Finance. Focus is primarily B2B, but is looking to make a big move soon into B2C market.","415-009-0811","@0016g000003PipKAAS","Technology","False","","","2019-12-25","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","2019-12-19T02:30:03.000Z","2019-12-19T02:30:03.000Z","","Stevens Capital","22000","0056g0000011OsEAAU","","415-012-0214","/services/images/photo/0016g000003PipKAAS","","San Francisco","United States","","","","94105","CA","50 Fremont Street","","2019-11-09T02:05:10.000Z","Customer","www.stevenscapital.com"
"","1000000000","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","Stark Ventures is a multinational industrial company and the largest manufacturing conglomerate in the world. Founded in 1939.","","@0016g000003PipXAAS","","False","","","2020-02-12","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Stark Ventures","10000","0056g0000011OsEAAU","","(800) 987-6543","/services/images/photo/0016g000003PipXAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","5000000000","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipYAAS","","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Bluth Developers","20","0056g0000011OsEAAU","","(800) 567-1239","/services/images/photo/0016g000003PipYAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","8000000000","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipZAAS","Utilities","False","","","2020-07-01","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Lex Chemicals","15000","0056g0000011OsEAAU","","(800) 981-1265","/services/images/photo/0016g000003PipZAAS","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","20000000000","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipaAAC","Entertainment","False","","","2020-03-13","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Wally Worldwide Studios","580","0056g0000011OsEAAU","","(800) 800-8918","/services/images/photo/0016g000003PipaAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","",""
"","","","Armonk","United States","","","","10504","NY","1 North Castle Drive","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipbAAC","Technology","False","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","International Business Machines","","0056g0000011OsEAAU","","917-334-5421","/services/images/photo/0016g000003PipbAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer","www.ibm.com"
"","2000000000","","","","","","","","","","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","@0016g000003PipcAAC","Entertainment","False","","","2020-01-31","0056g0000011OsEAAU","2019-11-09T02:05:10.000Z","","","","Panasonic Avionics","10000","0056g0000011OsEAAU","","","/services/images/photo/0016g000003PipcAAC","","","","","","","","","","","2019-11-09T02:05:10.000Z","Customer",""
